Odczyt z enkodera: [4.0, 85.0, 268.0] , Moc: 132.69 , FI akt: 268.0 , FI pop: 245.0 , FI poppop: 221.0 , różnica czasu: 0.10400000000000098
Odczyt z enkodera: [4.0, 85.0, 288.0] , Moc: 130.55 , FI akt: 288.0 , FI pop: 268.0 , FI poppop: 245.0 , różnica czasu: 0.08899999999999864
Odczyt z enkodera: [4.0, 85.0, 302.0] , Moc: 71.79 , FI akt: 302.0 , FI pop: 288.0 , FI poppop: 268.0 , różnica czasu: 0.1120000000000001
Odczyt z enkodera: [4.0, 85.0, 306.0] , Moc: 24.75 , FI akt: 306.0 , FI pop: 302.0 , FI poppop: 288.0 , różnica czasu: 0.08200000000000074
Odczyt z enkodera: [4.0, 85.0, 306.0] , Moc: 0.00 , FI akt: 306.0 , FI pop: 306.0 , FI poppop: 302.0 , różnica czasu: 0.09699999999999953
Odczyt z enkodera: [4.0, 85.0, 306.0] , Moc: 0.00 , FI akt: 306.0 , FI pop: 306.0 , FI poppop: 306.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 306.0] , Moc: 0.00 , FI akt: 306.0 , FI pop: 306.0 , FI poppop: 306.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 306.0] , Moc: 0.00 , FI akt: 306.0 , FI pop: 306.0 , FI poppop: 306.0 , różnica czasu: 0.12299999999999933
Odczyt z enkodera: [4.0, 85.0, 306.0] , Moc: 0.00 , FI akt: 306.0 , FI pop: 306.0 , FI poppop: 306.0 , różnica czasu: 0.08900000000000041
Odczyt z enkodera: [4.0, 85.0, 306.0] , Moc: 0.00 , FI akt: 306.0 , FI pop: 306.0 , FI poppop: 306.0 , różnica czasu: 0.11400000000000077
Odczyt z enkodera: [4.0, 85.0, 306.0] , Moc: 0.00 , FI akt: 306.0 , FI pop: 306.0 , FI poppop: 306.0 , różnica czasu: 0.08799999999999919
Odczyt z enkodera: [4.0, 85.0, 306.0] , Moc: 0.00 , FI akt: 306.0 , FI pop: 306.0 , FI poppop: 306.0 , różnica czasu: 0.08999999999999986
Odczyt z enkodera: [4.0, 85.0, 309.0] , Moc: 16.51 , FI akt: 309.0 , FI pop: 306.0 , FI poppop: 306.0 , różnica czasu: 0.11299999999999955
Odczyt z enkodera: [4.0, 85.0, 320.0] , Moc: 73.37 , FI akt: 320.0 , FI pop: 309.0 , FI poppop: 306.0 , różnica czasu: 0.0990000000000002
Odczyt z enkodera: [4.0, 85.0, 337.0] , Moc: 99.76 , FI akt: 337.0 , FI pop: 320.0 , FI poppop: 309.0 , różnica czasu: 0.10899999999999999
Odczyt z enkodera: [4.0, 85.0, 364.0] , Moc: 198.25 , FI akt: 364.0 , FI pop: 337.0 , FI poppop: 320.0 , różnica czasu: 0.09299999999999997
Odczyt z enkodera: [4.0, 85.0, 392.0] , Moc: 163.23 , FI akt: 392.0 , FI pop: 364.0 , FI poppop: 337.0 , różnica czasu: 0.10500000000000043
